,AAPL,AMZN,CVS,UNH,WMT,ARIMA_AAPL,RF_AAPL,ARIMA_AMZN,RF_AMZN,ARIMA_CVS,RF_CVS,ARIMA_UNH,RF_UNH,ARIMA_WMT,RF_WMT
2024-03-20,178.6699981689453,178.14999389648438,78.9800033569336,494.2300109863281,61.25,197.3111440838281,165.98270141601563,151.38843043373856,159.8077670288086,78.88388261285122,106.9827003479004,539.8404144111918,508.2993002319336,52.83119383324036,48.14710021972656
2024-03-21,171.3699951171875,178.14999389648438,78.2699966430664,491.6900024414063,61.45000076293945,197.39508239235244,166.3654019165039,151.37862433373027,160.30453857421875,78.88254225783473,107.375001373291,540.0756999253946,507.2167010498047,52.83610448997123,47.92063343048096
2024-03-22,172.27999877929688,178.8699951171875,78.4800033569336,490.0700073242188,60.869998931884766,197.47902070087676,167.0992008972168,151.368818233722,158.93967346191403,78.88120190281825,107.25710098266602,540.3109854395973,505.7931045532226,52.8410151467021,47.886766624450686
2024-03-25,170.85000610351562,179.7100067138672,78.9800033569336,485.8800048828125,60.56999969482422,197.56295900940103,167.878204498291,151.35901213371372,158.44065567016602,78.87986154780177,107.038800201416,540.5462709538001,512.1998165893555,52.84592580343297,47.744466896057126
2024-03-26,169.7100067138672,178.3000030517578,79.31999969482422,492.30999755859375,60.5099983215332,197.6468973179253,165.41630447387695,151.34920603370546,155.0993672180176,78.87852119278529,106.82330024719238,540.7815564680028,512.5390167236328,52.85083646016384,47.770700187683104
2024-03-27,173.30999755859375,179.8300018310547,79.43000030517578,493.1000061035156,60.720001220703125,197.7308356264496,164.9117057800293,151.3393999336972,151.53059700012207,78.87718083776879,106.3992000579834,541.0168419822056,514.3255139160157,52.85574711689472,48.15063369750977
2024-03-28,171.47999572753906,180.3800048828125,79.76000213623047,494.7000122070313,60.16999816894531,197.8147739349739,171.29090286254882,151.3295938336889,157.28612770080565,78.87584048275231,106.19360046386718,541.2521274964083,512.7907162475586,52.86065777362559,48.61526741027832
2024-04-01,170.02999877929688,180.97000122070312,79.55999755859375,489.7000122070313,60.0,197.98265055202253,175.6082000732422,151.30998163367235,162.49482177734376,78.87315977271935,100.40689895629885,541.722698524814,512.8782037353516,52.87047908708733,50.48333408355713
2024-04-02,168.83999633789062,180.69000244140625,73.81999969482422,458.1400146484375,59.15999984741211,198.06658886054683,174.17579879760743,151.3001755336641,160.62933715820313,78.87181941770285,100.39729888916015,541.9579840390167,513.4974053955078,52.87538974381821,50.49290077209473
2024-04-03,169.64999389648438,182.41000366210935,74.5999984741211,459.739990234375,59.43000030517578,198.15052716907115,173.59739837646484,151.29036943365583,158.66343292236328,78.87047906268637,100.82969886779784,542.1932695532195,513.9371997070313,52.88030040054908,50.62590114593506
2024-04-04,168.82000732421875,180.0,73.9000015258789,455.3800048828125,59.5,198.23446547759545,173.13029876708984,151.28056333364754,160.40373291015624,78.86913870766989,101.18979835510254,542.4285550674222,514.8476095581054,52.885211057279946,50.620333976745606
